Product Name,Brand,Price (INR),Filtration Stages,Smart Features
Dyson Purifier Cool TP07,Dyson,45900,HEPA + Activated Carbon,"Wi-Fi, App Control, Voice Assistant"
Philips AC2887/20,Philips,14999,Pre-filter + HEPA + Activated Carbon,Air Quality Indicator
Mi Air Purifier 3,Mi,10999,HEPA + Activated Carbon,"OLED Display, App Control"
Sharp FP-F40E-W,Sharp,13990,Pre-filter + HEPA + Plasma Cluster Ion,No
Honeywell Air Touch V4,Honeywell,23999,Pre-filter + HEPA + Activated Carbon + UV,"Touch Panel, Real-Time AQI"
Blue Star BS-AP490LAN,Blue Star,18000,Pre-filter + HEPA + Active Carbon + Cold Catalyst,Digital PM2.5 display
Kent Aura,Kent,8999,HEPA + Activated Carbon + Ionizer,No
Coway AirMega 150,Coway,12990,Pre-filter + HEPA + Deodorization Filter,Air Quality Indicator
Samsung AX32BG3100GG,Samsung,12999,3-layer filtration,"Auto Mode, Sleep Mode"
Havells Freshia AP-40,Havells,15400,Pre-filter + HEPA + Activated Carbon + UV,Smart Sensor Display
